Sentido,Status,Porto,Chegada,Peso,Quantidade
Exp,AO LARGO,PORTO_DE_PARANAGUA,17/02/2025 00:01; 17/02/2025 00:01; 16/02/2025 00:01; 16/02/2025 07:00; 15/02/2025 07:00; 15/02/2025 01:48; 15/02/2025 20:00; 12/02/2025 16:00; 12/02/2025 03:30; 10/02/2025 18:00; 31/12/2024 01:24; 10/02/2025 03:00; 11/02/2025 14:30; 11/02/2025 04:18; 10/02/2025 11:36; 07/02/2025 14:00; 10/02/2025 14:00; 10/02/2025 00:01; 07/02/2025 00:01; 05/02/2025 10:07; 01/02/2025 00:01; 31/01/2025 10:18; 28/01/2025 23:42; 19/12/2024 12:30,"64.914,000 Tons.; 66.000,000 Tons.; 65.205,000 Tons.; 89.000,000 Tons.; 70.012,000 Tons.; 66.200,000 Tons.; 69.500,000 Tons.; 58.250,000 Tons.; 65.000,000 Tons.; 60.400,000 Tons.; 72.370,000 Tons.; 65.000,000 Tons.; 69.800,000 Tons.; 65.258,000 Tons.; 66.000,000 Tons.; 66.000,000 Tons.; 64.500,000 Tons.; 59.000,000 Tons.; 54.900,000 Tons.; 65.000,000 Tons.; 66.960,000 Tons.; 63.000,000 Tons.; 62.500,000 Tons.; 69.150,000 Tons.",24
Exp,ATRACADOS,PORTO_DE_PARANAGUA,16/02/2025 22:18; 09/02/2025 07:30; 08/02/2025 08:01; 02/02/2025 14:12; 02/02/2025 10:00,"10.400,000 Tons.; 66.000,000 Tons.; 65.000,000 Tons.; 69.300,000 Tons.; 63.000,000 Tons.",5
Exp,DESPACHADOS,PORTO_DE_PARANAGUA,16/02/2025 08:00; 16/02/2025 04:24; 12/02/2025 17:15; 02/02/2025 01:00; 02/02/2025 05:00; 29/01/2025 19:00; 22/01/2025 11:24,"8.000,000 Tons.; 824,000 Tons.; 67.940,000 Tons.; 53.250,000 Tons.; 66.450,000 Tons.; 62.244,000 Tons.; 69.620,000 Tons.",7
Exp,ESPERADOS,PORTO_DE_PARANAGUA,20/02/2026 06:00; 06/03/2025 08:00; 06/03/2025 08:00; 06/03/2025 08:00; 02/03/2025 13:00; 02/03/2025 07:00; 28/02/2025 09:00; 28/02/2025 09:00; 28/02/2025 07:00; 28/02/2025 00:01; 27/02/2025 20:00; 27/02/2025 15:00; 27/02/2025 09:00; 27/02/2025 08:00; 26/02/2025 21:00; 25/02/2025 20:00; 25/02/2025 20:00; 25/02/2025 08:00; 25/02/2025 02:00; 24/02/2025 08:00; 24/02/2025 08:00; 24/02/2025 07:00; 24/02/2025 07:00; 23/02/2025 08:00; 23/02/2025 01:00; 22/02/2025 20:00; 22/02/2025 19:00; 22/02/2025 08:00; 21/02/2025 10:00; 21/02/2025 08:00; 20/02/2025 20:00; 20/02/2025 20:00; 20/02/2025 20:00; 20/02/2025 10:00; 19/02/2025 07:00; 18/02/2025 19:00; 17/02/2025 12:00; 10/02/2025 12:00,"0,000 Tons.; 4,000 Tons.; 3,000 Tons.; 5,000 Tons.; 90.000,000 Tons.; 63.000,000 Tons.; 63.500,000 Tons.; 61.500,000 Tons.; 19.000,000 Tons.; 60.000,000 Tons.; 68.950,000 Tons.; 69.000,000 Tons.; 55.000,000 Tons.; 63.000,000 Tons.; 7.000,000 Tons.; 10.000,000 Tons.; 60.000,000 Tons.; 57.750,000 Tons.; 65.000,000 Tons.; 10.000,000 Tons.; 1.500,000 Tons.; 25.076,000 Tons.; 60.000,000 Tons.; 8.000,000 Tons.; 60.000,000 Tons.; 69.300,000 Tons.; 12.000,000 Tons.; 69.550,000 Tons.; 63.000,000 Tons.; 8.927,000 Tons.; 63.000,000 Tons.; 68.000,000 Tons.; 15.000,000 Tons.; 62.000,000 Tons.; 15.780,000 Tons.; 66.000,000 Tons.; 66.000,000 Tons.; 63.000,000 Tons.",38
Exp,PROGRAMADOS,PORTO_DE_PARANAGUA,06/02/2025 15:36; 06/02/2025 09:18; 05/02/2025 00:30,"68.086,000 Tons.; 19.000,000 Tons.; 67.000,000 Tons.",3
Imp,AO LARGO,PORTO_DE_PARANAGUA,17/02/2025 00:10; 17/02/2025 00:10; 16/02/2025 15:00; 16/02/2025 00:30; 15/02/2025 17:10; 15/02/2025 17:10; 11/02/2025 19:30; 08/02/2025 08:30; 28/01/2025 03:00; 28/01/2025 03:00; 28/01/2025 03:00; 28/01/2025 11:30; 28/01/2025 11:30; 27/01/2025 20:12; 27/01/2025 20:12; 23/01/2025 11:00; 23/01/2025 13:48; 14/01/2025 16:00; 14/01/2025 16:00,"14.000,000 Tons.; 17.700,000 Tons.; 15.900,000 Tons.; 62.964,000 Tons.; 6.000,000 Tons.; 6.000,000 Tons.; 44.000,000 Tons.; 59.934,000 Tons.; 12.550,000 Tons.; 12.550,000 Tons.; 3.700,000 Tons.; 58.200,000 Tons.; 10.600,000 Tons.; 14.999,000 Tons.; 14.999,000 Tons.; 58.606,000 Tons.; 68.000,000 Tons.; 31.800,000 Tons.; 23.700,000 Tons.",19
Imp,AO LARGO PARA REATRACAÇÃO,PORTO_DE_PARANAGUA,16/01/2025 14:42,"32.899,000 Tons.",1
Imp,ATRACADOS,PORTO_DE_PARANAGUA,17/02/2025 13:30; 16/02/2025 12:00; 15/02/2025 02:06; 11/02/2025 02:48; 31/01/2025 04:24; 19/01/2025 06:00; 18/01/2025 09:00; 18/01/2025 09:00; 14/01/2025 04:54; 11/01/2025 22:12; 02/01/2025 17:30; 21/12/2024 04:30; 21/12/2024 04:30,"37.911,000 Tons.; 4.265,000 Tons.; 33.000,000 Tons.; 33.000,000 Tons.; 27.650,000 Tons.; 33.000,000 Tons.; 31.567,000 Tons.; 8.703,000 Tons.; 24.953,000 Tons.; 38.148,000 Tons.; 58.671,000 Tons.; 15.000,000 Tons.; 53.223,000 Tons.",13
Imp,DESPACHADOS,PORTO_DE_PARANAGUA,13/02/2025 22:30; 09/02/2025 16:00; 04/02/2025 13:00; 27/12/2024 16:00; 27/12/2024 16:00; 12/02/2025 22:15,"25.000,000 Tons.; 11.000,000 Tons.; 33.742,000 Tons.; 17.961,000 Tons.; 15.900,000 Tons.; 7.660,000 Tons.",6
Imp,ESPERADOS,PORTO_DE_PARANAGUA,22/03/2027 06:00; 15/03/2025 19:44; 11/03/2025 12:00; 10/03/2025 12:00; 10/03/2025 08:00; 07/03/2025 20:00; 04/03/2025 19:00; 04/03/2025 07:00; 03/03/2025 13:00; 03/03/2025 13:00; 03/03/2025 12:00; 01/03/2025 12:00; 28/02/2025 08:00; 28/02/2025 06:00; 27/02/2025 12:00; 27/02/2025 07:00; 26/02/2025 10:00; 25/02/2025 06:00; 24/02/2025 07:00; 22/02/2025 12:00; 22/02/2025 08:00; 22/02/2025 08:00; 21/02/2025 08:00; 20/02/2025 19:00; 20/02/2025 19:00; 20/02/2025 08:00; 20/02/2025 08:00; 19/02/2025 12:00; 19/02/2025 08:00; 19/02/2025 07:00; 19/02/2025 07:00; 18/02/2025 12:00; 18/02/2025 07:00; 18/02/2025 07:00; 15/02/2025 08:00,"0,000 Tons.; 20.900,000 Tons.; 17.330,000 Tons.; 34.000,000 Tons.; 17.000,000 Tons.; 15.005,000 Tons.; 1.600,000 Tons.; 44.000,000 Tons.; 6.200,000 Tons.; 10.000,000 Tons.; 14.000,000 Tons.; 21.557,000 Tons.; 10.000,000 Tons.; 4.720,000 Tons.; 52.498,000 Tons.; 45.350,000 Tons.; 27.500,000 Tons.; 32.000,000 Tons.; 52.500,000 Tons.; 25.000,000 Tons.; 21.700,000 Tons.; 3.300,000 Tons.; 2.359,000 Tons.; 13.000,000 Tons.; 20.048,000 Tons.; 37.000,000 Tons.; 35.933,000 Tons.; 59.935,000 Tons.; 9.900,000 Tons.; 3.500,000 Tons.; 24.001,000 Tons.; 60.000,000 Tons.; 25.000,000 Tons.; 12.034,000 Tons.; 11.000,000 Tons.",35
Imp,PROGRAMADOS,PORTO_DE_PARANAGUA,,"33.000,000 Tons.; 28.477,000 Tons.",2
Imp/Exp,AO LARGO,PORTO_DE_PARANAGUA,17/02/2025 00:30,600 Movs.,1
Imp/Exp,ATRACADOS,PORTO_DE_PARANAGUA,15/02/2025 09:30,1.050 Movs.,1
Imp/Exp,DESPACHADOS,PORTO_DE_PARANAGUA,15/02/2025 16:06; 16/02/2025 19:00; 15/02/2025 17:30; 15/02/2025 16:00; 14/02/2025 15:45; 15/02/2025 06:00; 14/02/2025 09:30; 14/02/2025 03:36; 14/02/2025 09:42,"597 Movs.; 600 Movs.; 319 Movs.; 93 Movs.; 1.495 Movs.; 1.138,000 Tons.; 2.008,000 Tons.; 891 Movs.; 940 Movs.",9
Imp/Exp,ESPERADOS,PORTO_DE_PARANAGUA,08/02/2026 06:00; 22/12/2025 06:00; 10/04/2025 07:00; 28/03/2025 08:00; 20/03/2025 12:00; 16/03/2025 12:00; 13/03/2025 12:00; 11/03/2025 12:00; 10/03/2025 12:00; 07/03/2025 07:00; 06/03/2025 12:00; 03/03/2025 20:00; 03/03/2025 12:00; 28/02/2025 12:00; 28/02/2025 12:00; 27/02/2025 21:00; 27/02/2025 17:00; 27/02/2025 12:00; 27/02/2025 12:00; 27/02/2025 12:00; 27/02/2025 07:00; 27/02/2025 07:00; 26/02/2025 13:00; 26/02/2025 05:00; 26/02/2025 01:00; 25/02/2025 13:00; 25/02/2025 12:00; 25/02/2025 08:00; 24/02/2025 18:00; 24/02/2025 07:00; 23/02/2025 05:00; 21/02/2025 19:00; 21/02/2025 07:00; 21/02/2025 07:00; 21/02/2025 07:00; 20/02/2025 19:00; 20/02/2025 07:00; 19/02/2025 14:00; 19/02/2025 14:00; 19/02/2025 08:00; 19/02/2025 07:00; 19/02/2025 07:00; 19/02/2025 06:00; 19/02/2025 05:00; 19/02/2025 02:00; 18/02/2025 21:00; 18/02/2025 15:00; 18/02/2025 12:00; 18/02/2025 09:00; 17/02/2025 00:00,"0,000 Tons.; 0,000 Tons.; 35.000,000 Tons.; 237,000 Tons.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 500 Movs.; 1.050 Movs.; 500 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.300 Movs.; 500 Movs.; 800 Movs.; 1.050 Movs.; 1.050 Movs.; 750 Movs.; 3.659,000 Tons.; 500 Movs.; 315 Movs.; 1.000 Movs.; 1.050 Movs.; 1.050 Movs.; 500 Movs.; 1.300 Movs.; 5.000,000 Tons.; 500 Movs.; 500 Movs.; 600 Movs.; 600 Movs.; 600 Movs.; 1.050 Movs.; 500 Movs.; 1.400 Movs.; 1.000 Movs.; 500 Movs.; 600 Movs.; 35.000,000 Tons.; 500 Movs.; 800 Movs.; 1.050 Movs.; 500 Movs.; 1.000 Movs.; 1.050 Movs.; 500 Movs.; 1.000 Movs.",50
Imp/Exp,PROGRAMADOS,PORTO_DE_PARANAGUA,16/02/2025 05:42,"0,000 Tons.; 1.050 Movs.; 650 Movs.",3
